event_id,summary_id,sidx,loss
42,1,24,10813.494141
42,1,25,16161.043945
42,1,26,10527.692383
42,1,27,11119.301758
42,1,28,54618.363281
42,1,29,40292.570312
42,1,30,95273.046875
42,1,31,62123.265625
42,1,32,13101.372070
42,1,33,14328.417969
42,1,34,20174.130859
42,1,35,24900.632812
42,1,36,2422.321045
42,1,37,75648.820312
42,1,38,20684.970703
42,1,39,17599.056641
42,1,40,43917.679688
42,1,41,13329.281250
42,1,42,18888.230469
42,1,43,4087.050049
42,1,44,61064.800781
42,1,45,14291.345703
42,1,46,17775.253906
42,1,47,30398.150391
42,1,48,60083.550781
42,1,49,25644.726562
42,1,50,26206.009766
42,1,51,18007.115234
42,1,52,31962.156250
42,1,53,12123.896484
42,1,54,30459.578125
42,1,55,19971.246094
42,1,56,63157.226562
42,1,57,15304.648438
42,1,58,10508.228516
42,1,59,12237.037109
42,1,60,6604.869629
42,1,61,10854.231445
42,1,62,8172.699219
42,1,63,54431.992188
42,1,64,17995.429688
42,1,65,88679.882812
42,1,66,36751.945312
42,1,67,39877.101562
42,1,68,19958.447266
42,1,69,11516.619141
42,1,70,20625.033203
42,1,71,48956.343750
42,1,72,9774.679688
42,1,73,17744.363281
42,1,74,50896.148438
42,1,75,12314.310547
42,1,76,6804.563477
42,1,77,8726.463867
42,1,78,16152.134766
42,1,79,6400.899902
42,1,80,12497.718750
42,1,81,31360.945312
42,1,82,33083.554688
42,1,83,2867.530518
42,1,84,26122.203125
42,1,85,146868.203125
42,1,86,41751.566406
42,1,87,15646.384766
42,1,88,15077.343750
42,1,90,34732.289062
42,1,91,25261.539062
42,1,92,3203.532471
42,1,93,12668.340820
42,1,94,58489.890625
42,1,95,38957.445312
42,1,96,14251.765625
42,1,97,50612.820312
42,1,98,26485.652344
42,1,99,24440.113281
42,1,100,37630.531250
56,1,-1,2936.415527
56,1,1,112.019531
56,1,2,1042.862793
56,1,3,644.260254
56,1,4,4952.260254
56,1,6,4242.688965
56,1,7,17002.302734
56,1,9,4006.272705
56,1,10,18377.531250
56,1,11,2794.648438
56,1,13,23120.138672
56,1,15,10283.158203
56,1,16,3125.403076
56,1,17,11501.432617
56,1,18,28222.113281
56,1,19,3848.870361
56,1,20,39234.988281
56,1,21,21756.134766
56,1,22,9826.367188
56,1,23,57540.644531
56,1,24,12417.521484
56,1,25,163.272217
56,1,26,32792.812500
56,1,30,2791.121826
56,1,31,6583.672852
56,1,32,7473.127930
56,1,33,776.787109
56,1,34,12713.728516
56,1,35,206.755859
56,1,36,614.814941
56,1,39,4490.987305
56,1,40,991.051758
56,1,41,15391.511719
56,1,42,43907.914062
56,1,44,11637.776367
56,1,48,5061.172852
56,1,49,11004.721680
56,1,50,18941.722656
56,1,51,2499.356201
56,1,52,5479.341309
56,1,53,13765.935547
56,1,54,11138.373047
56,1,55,25636.585938
56,1,56,17995.378906
56,1,57,7949.898438
56,1,58,7603.395508
56,1,60,1971.704712
56,1,61,4905.327148
56,1,62,4334.956055
56,1,63,6159.642090
56,1,64,15019.043945
56,1,65,2735.463379
56,1,66,1742.674805
56,1,68,11513.255859
56,1,69,12751.515625
56,1,71,17887.257812
56,1,72,3214.106934
56,1,73,6388.438477
56,1,74,1959.972656
56,1,76,10765.630859
56,1,77,1313.849365
56,1,78,30344.226562
56,1,79,11244.037109
56,1,80,8058.837891
56,1,81,20718.115234
56,1,83,21131.525391
56,1,84,10268.236328
56,1,85,12192.340820
56,1,86,779.073730
56,1,88,976.391602
56,1,89,18897.636719
56,1,90,4145.929688
56,1,92,1723.098633
56,1,94,18503.417969
56,1,95,5395.260742
56,1,96,11251.440430
56,1,97,6714.944336
56,1,98,11492.099609
56,1,99,54608.554688
56,1,100,2587.294922
93,1,-1,4982.545898
