summary_id,type,event_id,mean,standard_deviation,exposure_value
1,2,300229,1073.035278,1885.968750,86861.312500
2,1,300229,0.000000,0,146518.843750
2,2,300229,2547.821045,3761.749268,146518.843750
1,1,300258,0.000000,0,503418.312500
1,2,300258,2168.777588,3542.374023,503418.312500
2,1,300258,0.000000,0,840780.500000
2,2,300258,4658.540527,6374.650879,840780.500000
1,1,300300,0.000000,0,124399.507812
1,2,300300,132.477768,643.194824,124399.507812
2,1,300300,0.000000,0,209082.500000
2,2,300300,333.128296,1434.553101,209082.500000
1,1,300321,0.000000,0,390537.656250
1,2,300321,269.780548,1018.132202,390537.656250
2,1,300321,0.000000,0,652646.062500
2,2,300321,752.516418,2151.317627,652646.062500
1,1,300329,838.096924,0,622545.875000
1,2,300329,2516.747314,3051.179688,622545.875000
2,1,300329,3146.828125,0,1039326.437500
2,2,300329,5476.820801,5511.920410,1039326.437500
1,1,400017,0.000000,0,590778.250000
1,2,400017,3035.475586,5253.957031,590778.250000
2,1,400017,59.170898,0,986380.375000
2,2,400017,6171.624512,9157.656250,986380.375000
1,1,400021,7185.431641,0,695932.062500
1,2,400021,12746.169922,9050.505859,695932.062500
2,1,400021,13725.718750,0,1161636.750000
2,2,400021,22980.210938,15103.672852,1161636.750000
1,1,400070,1885.123657,0,290394.468750
1,2,400070,3896.893799,6001.549805,290394.468750
2,1,400070,4891.872559,0,485740.750000
2,2,400070,7920.391113,10232.615234,485740.750000
1,1,400080,0.000000,0,64386.207031
1,2,400080,629.661316,1270.523560,64386.207031
2,1,400080,0.000000,0,109060.343750
2,2,400080,1691.308716,2737.480713,109060.343750
1,1,400222,0.000000,0,590778.250000
1,2,400222,1469.467651,3664.091064,590778.250000
2,1,400222,0.000000,0,986380.375000
2,2,400222,3251.754883,6530.965332,986380.375000
1,1,400263,0.000000,0,345615.281250
1,2,400263,1105.726440,2917.689453,345615.281250
2,1,400263,985.821777,0,577775.437500
2,2,400263,2860.967285,5197.675293,577775.437500
1,1,500042,0.000000,0,290394.468750
1,2,500042,1260.794800,2249.512939,290394.468750
2,1,500042,1009.202637,0,485740.750000
2,2,500042,3080.858154,4238.641113,485740.750000
1,1,500057,0.000000,0,390537.656250
1,2,500057,844.680908,1976.750977,390537.656250
2,1,500057,0.000000,0,652646.062500
2,2,500057,1993.973755,3848.325928,652646.062500
1,1,500097,0.000000,0,329024.343750
1,2,500097,2172.971680,3269.246338,329024.343750
2,1,500097,0.000000,0,550123.875000
2,2,500097,4758.970703,5901.604492,550123.875000
1,1,500121,0.000000,0,258638.140625
1,2,500121,0.000000,0.000000,258638.140625
2,1,500121,0.000000,0,432813.562500
2,2,500121,17.124825,171.248245,432813.562500
1,1,500153,0.000000,0,124399.507812
1,2,500153,0.000000,0.000000,124399.507812
2,1,500153,0.000000,0,209082.500000
2,2,500153,0.000000,0.000000,209082.500000
1,1,500168,0.000000,0,78360.000000
1,2,500168,615.916870,3621.945801,78360.000000
2,1,500168,0.000000,0,132350.000000
2,2,500168,1096.528076,6327.955566,132350.000000
1,1,500170,0.000000,0,124399.507812
1,2,500170,5.878307,58.783070,124399.507812
2,1,500170,0.000000,0,209082.500000
2,2,500170,28.268974,273.046570,209082.500000
1,1,500171,0.000000,0,390537.656250
1,2,500171,2214.260986,3421.669678,390537.656250
2,1,500171,0.000000,0,652646.062500
2,2,500171,4691.845215,6228.533203,652646.062500
1,1,500219,0.000000,0,390537.656250
1,2,500219,4170.576660,5261.710938,390537.656250
2,1,500219,628.968750,0,652646.062500
2,2,500219,8190.707520,9200.533203,652646.062500
1,1,500228,0.000000,0,390537.656250
1,2,500228,1162.385986,2033.350586,390537.656250
2,1,500228,0.000000,0,652646.062500
2,2,500228,2823.080078,3944.375244,652646.062500
1,1,500232,474.783722,0,221508.265625
1,2,500232,2850.002930,5343.856934,221508.265625
2,1,500232,2541.306152,0,370930.437500
2,2,500232,5948.620605,9232.116211,370930.437500
1,1,500291,0.000000,0,390537.656250
1,2,500291,2455.896240,3995.406494,390537.656250
2,1,500291,0.000000,0,652646.062500
2,2,500291,5051.437012,7182.242676,652646.062500
1,1,500295,0.000000,0,124399.507812
1,2,500295,0.000000,0.000000,124399.507812
2,1,500295,0.000000,0,209082.500000
2,2,500295,0.000000,0.000000,209082.500000
1,1,600024,0.000000,0,390537.656250
1,2,600024,1010.822449,2244.720459,390537.656250
2,1,600024,0.000000,0,652646.062500
2,2,600024,2297.515137,4303.382324,652646.062500
1,1,600044,0.000000,0,6292.500488
1,2,600044,0.000000,0.000000,6292.500488
2,1,600044,0.000000,0,12237.500000
2,2,600044,2.233291,22.332911,12237.500000
1,1,600063,0.000000,0,64386.207031
1,2,600063,30.059656,216.331680,64386.207031
2,1,600063,0.000000,0,109060.343750
2,2,600063,128.712463,627.778931,109060.343750
1,1,600119,0.000000,0,258638.140625
1,2,600119,172.034164,795.127686,258638.140625
2,1,600119,0.000000,0,432813.562500
2,2,600119,546.831970,1722.028931,432813.562500
1,1,600138,0.000000,0,258638.140625
1,2,600138,0.000000,0.000000,258638.140625
2,1,600138,0.000000,0,432813.562500
2,2,600138,0.000000,0.000000,432813.562500
1,1,600148,0.000000,0,189740.656250
1,2,600148,0.000000,0.000000,189740.656250
2,1,600148,0.000000,0,317984.406250
2,2,600148,0.000000,0.000000,317984.406250
1,1,600168,0.000000,0,212215.750000
1,2,600168,456.641724,2500.209961,212215.750000
2,1,600168,0.000000,0,355442.906250
2,2,600168,1047.485596,4471.931152,355442.906250
1,1,600198,0.000000,0,124399.507812
1,2,600198,0.000000,0.000000,124399.507812
2,1,600198,0.000000,0,209082.500000
2,2,600198,0.000000,0.000000,209082.500000
1,1,600210,0.000000,0,212215.750000
1,2,600210,1498.596558,2809.850586,212215.750000
2,1,600210,988.677734,0,355442.906250
2,2,600210,3428.719971,5171.891113,355442.906250
1,1,600225,1377.994385,0,622545.875000
1,2,600225,5171.989258,7548.361328,622545.875000
2,1,600225,4046.657227,0,1039326.437500
2,2,600225,10204.981445,12703.049805,1039326.437500
1,1,600241,0.000000,0,124399.507812
1,2,600241,280.169617,1237.625488,124399.507812
2,1,600241,0.000000,0,209082.500000
2,2,600241,606.354919,2446.228760,209082.500000
1,1,600246,0.000000,0,64386.207031
1,2,600246,430.049103,1019.270081,64386.207031
2,1,600246,0.000000,0,109060.343750
2,2,600246,1289.181396,2276.684326,109060.343750
1,1,600279,801.362732,0,436599.812500
1,2,600279,3995.561523,6442.350586,436599.812500
2,1,600279,3085.604492,0,729416.312500
2,2,600279,8142.024902,10919.318359,729416.312500
1,1,600299,0.000000,0,124399.507812
1,2,600299,0.000000,0.000000,124399.507812
2,1,600299,0.000000,0,209082.500000
2,2,600299,0.000000,0.000000,209082.500000
1,1,700055,0.000000,0,124399.507812
1,2,700055,0.000000,0.000000,124399.507812
2,1,700055,0.000000,0,209082.500000
2,2,700055,0.000000,0.000000,209082.500000
1,1,700158,0.000000,0,221508.265625
1,2,700158,2610.888672,5200.689941,221508.265625
2,1,700158,1112.736816,0,370930.437500
2,2,700158,5510.767578,8995.266602,370930.437500
